--------------------------------------------------------------
   CONTROL DE TEMPERATURA DE PAVA ELECTRICA
--------------------------------------------------------------
Mantiene la T° del agua por arriba de 50.00 ºC
Calienta como maximo la T° del Agua a 90.00 ºC
No se termino el ciclo debido a falta de tiempo
Tiempo	Amb	Agua	Estado Control [0/1]	
1212001	23.56	78.50	0	
1214001	23.62	78.50	0	
1216001	23.62	78.44	0	
1218001	23.56	78.44	0	
1220001	23.56	78.44	0	
1222001	23.62	78.44	0	
1224001	23.56	78.37	0	
1226001	23.62	78.37	0	
1228001	23.56	78.31	0	
1230001	23.56	78.31	0	
1232001	23.56	78.25	0	
1234001	23.56	78.19	0	
1236001	23.56	78.19	0	
1238001	23.56	78.12	0	
1240001	23.56	78.12	0	
1242001	23.62	78.12	0	
1244001	23.62	78.12	0	
1246001	23.62	78.12	0	
1248001	23.56	78.12	0	
1250001	23.62	78.06	0	
1252001	23.62	78.06	0	
1254001	23.62	78.06	0	
1256001	23.56	78.00	0	
1258001	23.62	78.00	0	
1260001	23.56	77.94	0	
1262001	23.56	77.94	0	
1264001	23.62	77.94	0	
1266001	23.62	77.87	0	
1268001	23.62	77.87	0	
1270001	23.56	77.87	0	
1272001	23.56	77.87	0	
1274001	23.56	77.81	0	
1276001	23.56	77.81	0	
1278001	23.56	77.81	0	
1280001	23.56	77.75	0	
1282001	23.56	77.75	0	
1284001	23.56	77.69	0	
1286001	23.56	77.69	0	
1288001	23.62	77.62	0	
1290001	23.56	77.56	0	
1292001	23.56	77.56	0	
1294001	23.56	77.50	0	
1296001	23.62	77.44	0	
1298001	23.56	77.44	0	
1300001	23.56	77.37	0	
1302001	23.56	77.37	0	
1304001	23.56	77.37	0	
1306001	23.56	77.37	0	
1308001	23.50	77.31	0	
1310001	23.50	77.31	0	
1312001	23.50	77.31	0	
1314001	23.56	77.31	0	
1316001	23.50	77.25	0	
1318001	23.56	77.25	0	
1320001	23.56	77.25	0	
1322001	23.56	77.25	0	
1324001	23.56	77.19	0	
1326001	23.56	77.19	0	
1328001	23.56	77.19	0	
1330001	23.56	77.12	0	
1332001	23.56	77.06	0	
1334001	23.56	77.06	0	
1336001	23.56	77.06	0	
1338001	23.56	77.00	0	
1340001	23.56	77.00	0	
1342001	23.56	77.00	0	
1344001	23.56	76.94	0	
1346001	23.56	76.94	0	
1348001	23.56	76.94	0	
1350001	23.56	76.87	0	
1352001	23.56	76.87	0	
1354001	23.56	76.87	0	
1356001	23.56	76.81	0	
1358001	23.56	76.81	0	
1360001	23.56	76.81	0	
1362001	23.56	76.75	0	
1364001	23.56	76.75	0	
1366001	23.56	76.69	0	
1368001	23.56	76.69	0	
1370001	23.56	76.69	0	
1372001	23.56	76.62	0	
1374001	23.56	76.62	0	
1376001	23.56	76.62	0	
1378001	23.56	76.56	0	
1380001	23.56	76.56	0	
1382001	23.56	76.50	0	
1384001	23.56	76.50	0	
1386001	23.56	76.50	0	
1388001	23.56	76.50	0	
1390001	23.62	76.44	0	
1392001	23.56	76.44	0	
1394001	23.56	76.44	0	
1396001	23.56	76.37	0	
1398001	23.56	76.37	0	
1400001	23.56	76.31	0	
1402001	23.56	76.25	0	
1404001	23.56	76.25	0	
PARADA DE EMERGENCIA
